OBJECTID,Name,Address,Average_Score,Date,Inspection_Score,FacilityID,ZipCode,Latitude,Longitude,Month,Day,Year,,,Date2
1,7-Eleven,"1320 E OLTORF ST AUSTIN, TX 78704",94.3,"Monday, April 9, 2018",94,11663250,78704,30.23428513,-97.74217248,4,9,2018,,,4/9/2018
2,7-Eleven,"1320 E OLTORF ST AUSTIN, TX 78704 ",94.3,"Monday, October 2, 2017",96,11663250,78704,30.23428513,-97.74217248,10,2,2017,,,10/2/2017
3,7-Eleven,"1320 E OLTORF ST AUSTIN, TX 78704",94.3,"Thursday, October 18, 2018",93,11663250,78704,30.23428513,-97.74217248,10,18,2018,,,10/18/2018
4,15th Street Cafe,"303 W 15TH ST AUSTIN, TX 78701",93.7,"Tuesday, July 24, 2018",94,2801033,78701,30.27750197,-97.74255475,7,24,2018,,,7/24/2018
5,15th Street Cafe,"303 W 15TH ST AUSTIN, TX 78701",93.7,"Monday, May 1, 2017",99,2801033,78701,30.27750197,-97.74255475,5,1,2017,,,5/1/2017
6,15th Street Cafe,"303 W 15TH ST AUSTIN, TX 78701",93.7,"Tuesday, November 10, 2015",86,2801033,78701,30.27750197,-97.74255475,11,10,2015,,,11/10/2015
7,15th Street Cafe,"303 W 15TH ST AUSTIN, TX 78701",93.7,"Tuesday, May 24, 2016",91,2801033,78701,30.27750197,-97.74255475,5,24,2016,,,5/24/2016
8,15th Street Cafe,"303 W 15TH ST AUSTIN, TX 78701",93.7,"Monday, October 30, 2017",95,2801033,78701,30.27750197,-97.74255475,10,30,2017,,,10/30/2017
9,15th Street Cafe,"303 W 15TH ST AUSTIN, TX 78701",93.7,"Monday, November 7, 2016",97,2801033,78701,30.27750197,-97.74255475,11,7,2016,,,11/7/2016
10,183 Grill Austin Gyros,"13729 N US 183 HWY AUSTIN, TX 78729",95.8,"Tuesday, April 10, 2018",98,11368998,78729,30.45898109,-97.79207583,4,10,2018,,,4/10/2018
11,183 Grill Austin Gyros,"13729 N US 183 HWY AUSTIN, TX 78729",95.8,"Monday, October 9, 2017",96,11368998,78729,30.45898109,-97.79207583,10,9,2017,,,10/9/2017
12,183 Grill Austin Gyros,"13729 N US 183 HWY AUSTIN, TX 78729",95.8,"Thursday, January 28, 2016",95,11368998,78729,30.45898109,-97.79207583,1,28,2016,,,1/28/2016
13,183 Grill Austin Gyros,"13729 N US 183 HWY AUSTIN, TX 78729",95.8,"Monday, August 8, 2016",95,11368998,78729,30.45898109,-97.79207583,8,8,2016,,,8/8/2016
14,183 Grill Austin Gyros,"13729 N US 183 HWY AUSTIN, TX 78729",95.8,"Monday, April 10, 2017",95,11368998,78729,30.45898109,-97.79207583,4,10,2017,,,4/10/2017
15,1st Food Mart,"1410 S 1ST ST AUSTIN, TX 78704",92.4,"Wednesday, August 15, 2018",93,10677646,78704,30.2503509,-97.75495234,8,15,2018,,,8/15/2018
16,1st Food Mart,"1410 S 1ST ST AUSTIN, TX 78704",92.4,"Tuesday, June 20, 2017",88,10677646,78704,30.2503509,-97.75495234,6,20,2017,,,6/20/2017
17,1st Food Mart,"1410 S 1ST ST AUSTIN, TX 78704",92.4,"Thursday, December 21, 2017",97,10677646,78704,30.2503509,-97.75495234,12,21,2017,,,12/21/2017
18,1st Food Mart,"1410 S 1ST ST AUSTIN, TX 78704",92.4,"Monday, November 14, 2016",93,10677646,78704,30.2503509,-97.75495234,11,14,2016,,,11/14/2016
19,1st Food Mart,"1410 S 1ST ST AUSTIN, TX 78704",92.4,"Monday, April 18, 2016",91,10677646,78704,30.2503509,-97.75495234,4,18,2016,,,4/18/2016
20,1-Stop Food Store,"5101 AIRPORT BLVD AUSTIN, TX 78751",94,"Monday, November 7, 2016",98,10632697,78751,30.31231872,-97.71494609,11,7,2016,,,11/7/2016
21,1-Stop Food Store,"5101 AIRPORT BLVD AUSTIN, TX 78751",94,"Wednesday, June 27, 2018",94,10632697,78751,30.31231872,-97.71494609,6,27,2018,,,6/27/2018
22,1-Stop Food Store,"5101 AIRPORT BLVD
AUSTIN, TX 78751
",94,"Friday, December 29, 2017",92,10632697,78751,30.31231872,-97.71494609,12,29,2017,,,12/29/2017
23,1-Stop Food Store,"5101 AIRPORT BLVD
AUSTIN, TX 78751
",94,"Wednesday, May 18, 2016",91,10632697,78751,30.31231872,-97.71494609,5,18,2016,,,5/18/2016
24,1-Stop Food Store,"5101 AIRPORT BLVD
AUSTIN, TX 78751
",94,"Wednesday, June 7, 2017",95,10632697,78751,30.31231872,-97.71494609,6,7,2017,,,6/7/2017
25,2 Dine 4 Fine Catering,"3008 GONZALES ST
AUSTIN, TX 78702
",91.8,"Tuesday, November 17, 2015",98,2802035,78702,30.25973637,-97.70697182,11,17,2015,,,11/17/2015
26,2 Dine 4 Fine Catering,"3008 GONZALES ST
AUSTIN, TX 78702
",91.8,"Tuesday, August 8, 2017",86,2802035,78702,30.25973637,-97.70697182,8,8,2017,,,8/8/2017
27,2 Dine 4 Fine Catering,"3008 GONZALES ST
AUSTIN, TX 78702
",91.8,"Wednesday, February 1, 2017",92,2802035,78702,30.25973637,-97.70697182,2,1,2017,,,2/1/2017
28,2 Dine 4 Fine Catering,"3008 GONZALES ST
AUSTIN, TX 78702
",91.8,"Monday, July 11, 2016",95,2802035,78702,30.25973637,-97.70697182,7,11,2016,,,7/11/2016
29,2 Dine 4 Fine Catering,"3008 GONZALES ST
AUSTIN, TX 78702
",91.8,"Monday, August 20, 2018",90,2802035,78702,30.25973637,-97.70697182,8,20,2018,,,8/20/2018
30,2 Dine 4 Fine Catering,"3008 GONZALES ST
AUSTIN, TX 78702
",91.8,"Monday, February 5, 2018",90,2802035,78702,30.25973637,-97.70697182,2,5,2018,,,2/5/2018
31,2 n 1 Salad Bar and Grill,"901 W BRAKER LN
AUSTIN, TX 78758
",95.8,"Thursday, April 27, 2017",97,11534776,78758,30.38264637,-97.68885704,4,27,2017,,,4/27/2017
32,2 n 1 Salad Bar and Grill,"901 W BRAKER LN
AUSTIN, TX 78758
",95.8,"Friday, October 21, 2016",96,11534776,78758,30.38264637,-97.68885704,10,21,2016,,,10/21/2016
33,2 n 1 Salad Bar and Grill,"901 W BRAKER LN
AUSTIN, TX 78758
",95.8,"Friday, September 29, 2017",100,11534776,78758,30.38264637,-97.68885704,9,29,2017,,,9/29/2017
34,2 n 1 Salad Bar and Grill,"901 W BRAKER LN
AUSTIN, TX 78758
",95.8,"Friday, February 23, 2018",90,11534776,78758,30.38264637,-97.68885704,2,23,2018,,,2/23/2018
35,21st St. College House,"707 W 21ST ST
AUSTIN, TX 78705
",81.4,"Thursday, October 27, 2016",74,2800407,78705,30.28394822,-97.74593106,10,27,2016,,,10/27/2016
36,21st St. College House,"707 W 21ST ST
AUSTIN, TX 78705
",81.4,"Monday, May 7, 2018",84,2800407,78705,30.28394822,-97.74593106,5,7,2018,,,5/7/2018
37,21st St. College House,"707 W 21ST ST
AUSTIN, TX 78705
",81.4,"Monday, April 25, 2016",72,2800407,78705,30.28394822,-97.74593106,4,25,2016,,,4/25/2016
38,21st St. College House,"707 W 21ST ST
AUSTIN, TX 78705
",81.4,"Thursday, October 26, 2017",84,2800407,78705,30.28394822,-97.74593106,10,26,2017,,,10/26/2017
39,21st St. College House,"707 W 21ST ST
AUSTIN, TX 78705
",81.4,"Monday, January 23, 2017",93,2800407,78705,30.28394822,-97.74593106,1,23,2017,,,1/23/2017
40,2222 Market,"1112 W KOENIG LN
AUSTIN, TX 78756
",89.4,"Monday, May 2, 2016",87,11211426,78756,30.329944,-97.72903575,5,2,2016,,,5/2/2016
41,2222 Market,"1112 W KOENIG LN
AUSTIN, TX 78756
",89.4,"Thursday, June 28, 2018",90,11211426,78756,30.329944,-97.72903575,6,28,2018,,,6/28/2018
42,2222 Market,"1112 W KOENIG LN
AUSTIN, TX 78756
",89.4,"Thursday, October 27, 2016",89,11211426,78756,30.329944,-97.72903575,10,27,2016,,,10/27/2016
43,2222 Market,"1112 W KOENIG LN
AUSTIN, TX 78756
",89.4,"Thursday, April 27, 2017",94,11211426,78756,30.329944,-97.72903575,4,27,2017,,,4/27/2017
44,2222 Market,"1112 W KOENIG LN
AUSTIN, TX 78756
",89.4,"Wednesday, January 3, 2018",87,11211426,78756,30.329944,-97.72903575,1,3,2018,,,1/3/2018
45,23 Flavors & Snacks,"5808 MANOR RD
AUSTIN, TX 78723
",96,"Monday, July 16, 2018",97,11687005,78723,30.30627972,-97.68063895,7,16,2018,,,7/16/2018
46,23 Flavors & Snacks,"5808 MANOR RD
AUSTIN, TX 78723
",96,"Friday, October 27, 2017",95,11687005,78723,30.30627972,-97.68063895,10,27,2017,,,10/27/2017
47,24 Diner,"600 N LAMAR BLVD
AUSTIN, TX 78703
",82.8,"Tuesday, May 2, 2017",84,2800411,78703,30.27181207,-97.75403457,5,2,2017,,,5/2/2017
48,24 Diner,"600 N LAMAR BLVD
AUSTIN, TX 78703
",82.8,"Tuesday, November 1, 2016",90,2800411,78703,30.27181207,-97.75403457,11,1,2016,,,11/1/2016
49,24 Diner,"600 N LAMAR BLVD
AUSTIN, TX 78703
",82.8,"Wednesday, November 8, 2017",83,2800411,78703,30.27181207,-97.75403457,11,8,2017,,,11/8/2017
50,24 Diner,"600 N LAMAR BLVD
AUSTIN, TX 78703
",82.8,"Tuesday, May 10, 2016",84,2800411,78703,30.27181207,-97.75403457,5,10,2016,,,5/10/2016
51,24 Diner,"600 N LAMAR BLVD
AUSTIN, TX 78703
",82.8,"Thursday, December 3, 2015",83,2800411,78703,30.27181207,-97.75403457,12,3,2015,,,12/3/2015
52,24 Diner,"600 N LAMAR BLVD
AUSTIN, TX 78703
",82.8,"Friday, July 20, 2018",73,2800411,78703,30.27181207,-97.75403457,7,20,2018,,,7/20/2018
53,28 Alimentari,"454 W 2ND ST
AUSTIN, TX 78701
",93.5,"Friday, August 18, 2017",91,11651886,78701,30.26570209,-97.74852182,8,18,2017,,,8/18/2017
54,28 Alimentari,"454 W 2ND ST
AUSTIN, TX 78701
",93.5,"Tuesday, March 6, 2018",96,11651886,78701,30.26570209,-97.74852182,3,6,2018,,,3/6/2018
55,290 West Bar & Grill,"12013 W US 290 HWY
AUSTIN, TX 78737
",94.8,"Wednesday, November 30, 2016",93,2802301,78737,30.21058363,-97.96874511,11,30,2016,,,11/30/2016
56,290 West Bar & Grill,"12013 W US 290 HWY
AUSTIN, TX 78737
",94.8,"Tuesday, February 6, 2018",97,2802301,78737,30.21058363,-97.96874511,2,6,2018,,,2/6/2018
57,290 West Bar & Grill,"12013 W US 290 HWY
AUSTIN, TX 78737
",94.8,"Wednesday, June 1, 2016",95,2802301,78737,30.21058363,-97.96874511,6,1,2016,,,6/1/2016
58,290 West Bar & Grill,"12013 W US 290 HWY
AUSTIN, TX 78737
",94.8,"Tuesday, October 2, 2018",95,2802301,78737,30.21058363,-97.96874511,10,2,2018,,,10/2/2018
59,290 West Bar & Grill,"12013 W US 290 HWY
AUSTIN, TX 78737
",94.8,"Tuesday, July 18, 2017",94,2802301,78737,30.21058363,-97.96874511,7,18,2017,,,7/18/2017
60,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Tuesday, May 10, 2016",92,10003368,78701,30.26406211,-97.74186464,5,10,2016,,,5/10/2016
61,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Monday, July 30, 2018",88,10003368,78701,30.26406211,-97.74186464,7,30,2018,,,7/30/2018
62,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Tuesday, November 17, 2015",97,10003368,78701,30.26406211,-97.74186464,11,17,2015,,,11/17/2015
63,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Friday, July 28, 2017",96,10003368,78701,30.26406211,-97.74186464,7,28,2017,,,7/28/2017
64,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Friday, February 24, 2017",99,10003368,78701,30.26406211,-97.74186464,2,24,2017,,,2/24/2017
65,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Friday, September 30, 2016",91,10003368,78701,30.26406211,-97.74186464,9,30,2016,,,9/30/2016
66,2nd Street Market,"200 SAN JACINTO BLVD
AUSTIN, TX 78701
",93.4,"Wednesday, January 24, 2018",91,10003368,78701,30.26406211,-97.74186464,1,24,2018,,,1/24/2018
67,3 Small Plates Catering,"502 THOMPSON LN
AUSTIN, TX 78742
",94,"Tuesday, June 26, 2018",94,11776594,78742,30.23889078,-97.68406347,6,26,2018,,,6/26/2018
68,3 Train Pizzeria,"8127 MESA DR
AUSTIN, TX 78759
",86.3,"Monday, July 30, 2018",80,11563452,78759,30.37319094,-97.75573532,7,30,2018,,,7/30/2018
69,3 Train Pizzeria,"8127 MESA DR
AUSTIN, TX 78759
",86.3,"Thursday, December 28, 2017",89,11563452,78759,30.37319094,-97.75573532,12,28,2017,,,12/28/2017
70,3 Train Pizzeria,"8127 MESA DR
AUSTIN, TX 78759
",86.3,"Tuesday, May 30, 2017",90,11563452,78759,30.37319094,-97.75573532,5,30,2017,,,5/30/2017
71,311 Club,"311 E 6TH ST
AUSTIN, TX 78701
",93.7,"Thursday, July 28, 2016",91,2800988,78701,30.26707907,-97.74003942,7,28,2016,,,7/28/2016
72,311 Club,"311 E 6TH ST
AUSTIN, TX 78701
",93.7,"Thursday, January 28, 2016",97,2800988,78701,30.26707907,-97.74003942,1,28,2016,,,1/28/2016
73,311 Club,"311 E 6TH ST
AUSTIN, TX 78701
",93.7,"Thursday, January 19, 2017",93,2800988,78701,30.26707907,-97.74003942,1,19,2017,,,1/19/2017
74,34th Street Cafe,"1005 W 34TH ST
AUSTIN, TX 78705
",95.8,"Thursday, April 13, 2017",94,2801118,78705,30.30264454,-97.74522378,4,13,2017,,,4/13/2017
75,34th Street Cafe,"1005 W 34TH ST
AUSTIN, TX 78705
",95.8,"Thursday, November 16, 2017",97,2801118,78705,30.30264454,-97.74522378,11,16,2017,,,11/16/2017
76,34th Street Cafe,"1005 W 34TH ST
AUSTIN, TX 78705
",95.8,"Friday, March 18, 2016",97,2801118,78705,30.30264454,-97.74522378,3,18,2016,,,3/18/2016
77,34th Street Cafe,"1005 W 34TH ST
AUSTIN, TX 78705
",95.8,"Thursday, September 22, 2016",98,2801118,78705,30.30264454,-97.74522378,9,22,2016,,,9/22/2016
78,34th Street Cafe,"1005 W 34TH ST
AUSTIN, TX 78705
",95.8,"Monday, June 18, 2018",93,2801118,78705,30.30264454,-97.74522378,6,18,2018,,,6/18/2018
79,34th Street Catering,"1009 W 34TH ST
AUSTIN, TX 78705
",94.6,"Thursday, September 22, 2016",95,10006930,78705,30.30282513,-97.74535455,9,22,2016,,,9/22/2016
80,34th Street Catering,"1009 W 34TH ST
AUSTIN, TX 78705
",94.6,"Friday, March 18, 2016",100,10006930,78705,30.30282513,-97.74535455,3,18,2016,,,3/18/2016
81,34th Street Catering,"1009 W 34TH ST
AUSTIN, TX 78705
",94.6,"Monday, June 18, 2018",95,10006930,78705,30.30282513,-97.74535455,6,18,2018,,,6/18/2018
82,34th Street Catering,"1009 W 34TH ST
AUSTIN, TX 78705
",94.6,"Thursday, April 13, 2017",91,10006930,78705,30.30282513,-97.74535455,4,13,2017,,,4/13/2017
83,34th Street Catering,"1009 W 34TH ST
AUSTIN, TX 78705
",94.6,"Thursday, November 16, 2017",92,10006930,78705,30.30282513,-97.74535455,11,16,2017,,,11/16/2017
84,"360 Pizza, LLC","6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
",90.8,"Thursday, April 20, 2017",90,10833958,78731,30.36057153,-97.78964485,4,20,2017,,,4/20/2017
85,"360 Pizza, LLC","2107 KINNEY AVE
AUSTIN, TX 78704
",86.8,"Thursday, July 12, 2018",90,11062654,78704,30.2485311,-97.77040211,7,12,2018,,,7/12/2018
86,"360 Pizza, LLC","6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
",90.8,"Friday, October 27, 2017",81,10833958,78731,30.36057153,-97.78964485,10,27,2017,,,10/27/2017
87,"360 Pizza, LLC","6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
",90.8,"Monday, October 24, 2016",90,10833958,78731,30.36057153,-97.78964485,10,24,2016,,,10/24/2016
88,"360 Pizza, LLC","2107 KINNEY AVE
AUSTIN, TX 78704
",86.8,"Monday, April 10, 2017",77,11062654,78704,30.2485311,-97.77040211,4,10,2017,,,4/10/2017
89,"360 Pizza, LLC","2107 KINNEY AVE
AUSTIN, TX 78704
",86.8,"Thursday, October 12, 2017",84,11062654,78704,30.2485311,-97.77040211,10,12,2017,,,10/12/2017
90,"360 Pizza, LLC","2107 KINNEY AVE
AUSTIN, TX 78704
",86.8,"Friday, July 29, 2016",89,11062654,78704,30.2485311,-97.77040211,7,29,2016,,,7/29/2016
91,"360 Pizza, LLC","6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
",90.8,"Friday, April 15, 2016",96,10833958,78731,30.36057153,-97.78964485,4,15,2016,,,4/15/2016
92,"360 Pizza, LLC","6203 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
",90.8,"Tuesday, July 24, 2018",97,10833958,78731,30.36057153,-97.78964485,7,24,2018,,,7/24/2018
